run,seed,loss,optimizer,lr,epochs,time_min,accuracy,f1_macro,f1_weighted
alexnet_pre_cel_adam,0,cross_entropy,adam,0.0001,30,8.59,0.9086538461538461,0.9083617342062943,0.9078566290415632
vgg16_pre_cel_adam,0,cross_entropy,adam,0.0001,30,23.55,0.9057692307692308,0.9064316624141023,0.9054209811188149
vgg16_pre_cel_rmsprop,0,cross_entropy,rmsprop,0.0001,30,24.26,0.9067307692307692,0.9073614941520287,0.9066840553393907
alexnet_pre_cel_rmsprop,0,cross_entropy,rmsprop,0.0001,30,9.36,0.8942307692307693,0.8916605100115682,0.8917385785790157
alexnet_pre_cel_adam,1,cross_entropy,adam,0.0001,30,9.34,0.9125,0.9111781366456948,0.9115821159361306
vgg16_pre_cel_adam,1,cross_entropy,adam,0.0001,30,24.81,0.9125,0.9120814335937689,0.9118105964966207
vgg16_pre_cel_rmsprop,1,cross_entropy,rmsprop,0.0001,30,25.61,0.9028846153846154,0.9023609609244438,0.9026827648601592
alexnet_pre_cel_rmsprop,1,cross_entropy,rmsprop,0.0001,30,9.62,0.8923076923076924,0.8908463937800855,0.8908663302365376
alexnet_pre_cel_adam,1010,cross_entropy,adam,0.0001,30,9.44,0.9057692307692308,0.9058927331734924,0.9052987368221456
vgg16_pre_cel_adam,1010,cross_entropy,adam,0.0001,30,24.78,0.9153846153846154,0.9158541104593579,0.9159331743882154
vgg16_pre_cel_rmsprop,1010,cross_entropy,rmsprop,0.0001,30,22.68,0.8932692307692308,0.8941156781138614,0.89402926205847
alexnet_pre_cel_rmsprop,1010,cross_entropy,rmsprop,0.0001,30,8.47,0.8894230769230769,0.8893271230873989,0.888945435542047
alexnet_pre_cel_adam,42,cross_entropy,adam,0.0001,30,9.29,0.9019230769230769,0.9011715374409893,0.9014937301817253
vgg16_pre_cel_adam,42,cross_entropy,adam,0.0001,30,24.73,0.9211538461538461,0.9221433410068859,0.9219218812482609
vgg16_pre_cel_rmsprop,42,cross_entropy,rmsprop,0.0001,30,25.2,0.9019230769230769,0.9028179151386451,0.9021008910932359
alexnet_pre_cel_rmsprop,42,cross_entropy,rmsprop,0.0001,30,9.15,0.885576923076923,0.8851387674654176,0.8852313164386895
